sep=,
mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,2021,256257047,59.405209,24.6829526,-97,1512926629438,29.9,1.2889683,0.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.405288,24.6828357,-98,1512926644302,33.1,0.0,0.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.405343,24.6822224,-97,1512926653762,24.0,0.43829706,0.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.4053,24.6827763,-87,1512926660000,6.7,0.0,0.0,LTE,0,,2021,-1,,,
248,2,2021,256257047,59.4052743,24.6827658,-87,1512926665000,4.8,2.4554138,182.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.4050978,24.6827564,-89,1512926670000,6.6,2.2239878,179.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.4050437,24.6827056,-82,1512926674007,6.4,2.6223347,257.0,LTE,0,,2021,-1,,,
248,2,2021,256348950,59.4048812,24.6825818,-82,1512926679011,6.4,3.1864758,203.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4047422,24.6822708,-81,1512926684025,3.9,7.0607038,294.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4048012,24.6814549,-65,1512926689035,4.8,8.801038,292.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.404719,24.6808504,-67,1512926694039,5.3,8.482651,209.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4039146,24.6800908,-72,1512926705000,3.9,10.64431,207.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4031704,24.6793011,-73,1512926715000,3.9,9.29901,208.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4027916,24.6788873,-75,1512926720000,3.9,9.756218,207.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4019855,24.6781183,-82,1512926730000,3.9,9.826755,208.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.4012227,24.6772718,-85,1512926740000,3.9,9.925064,203.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.4006986,24.6775516,-72,1512926750000,5.6,8.743254,75.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.4007101,24.6783804,-75,1512926755000,3.9,10.979961,120.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.4003618,24.6793443,-77,1512926760000,4.2,13.790524,126.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.3994209,24.6808246,-84,1512926770000,5.0,14.315611,162.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.3985852,24.6816403,-72,1512926780000,12.0,9.314677,78.0,LTE,0,,2021,-1,,,
248,2,2021,256287263,59.3989985,24.6838974,-78,1512926790000,3.9,14.828832,75.0,LTE,0,,2021,-1,,,
248,2,2021,256257036,59.3991746,24.6851337,-85,1512926795000,3.9,14.52971,74.0,LTE,0,,2021,-1,,,
248,2,2021,256257036,59.3993383,24.6863724,-85,1512926800000,3.9,14.441357,75.0,LTE,0,,2021,-1,,,
248,2,2021,256257036,59.3995333,24.6876144,-82,1512926805000,3.9,14.294623,75.0,LTE,0,,2021,-1,,,
248,2,2021,256257035,59.3996461,24.688711,-74,1512926810000,3.9,9.674897,77.0,LTE,0,,2021,-1,,,
248,2,2021,256257035,59.3998595,24.6904925,-76,1512926820000,3.9,14.950263,75.0,LTE,0,,2021,-1,,,
248,2,2021,256417548,59.4002372,24.6926367,-76,1512926830000,7.0,11.551203,60.0,LTE,0,,2021,-1,,,
248,2,2021,256417548,59.4008377,24.6940885,-74,1512926840000,6.6,8.95239,47.0,LTE,0,,2021,-1,,,
248,2,2021,256417548,59.4009953,24.6943568,-67,1512926850000,4.2,2.0088735,346.0,LTE,0,,2021,-1,,,
248,2,2021,256417548,59.4015473,24.6937979,-70,1512926860000,5.9,14.190216,298.0,LTE,0,,2021,-1,,,
248,2,2021,256417548,59.4017882,24.6926781,-70,1512926865000,5.8,13.282194,299.0,LTE,0,,2021,-1,,,
248,2,2021,256348940,59.4023506,24.6905996,-71,1512926875000,14.0,14.163317,298.0,LTE,0,,2021,-1,,,
248,2,2021,256348940,59.4029428,24.6883873,-67,1512926885000,9.7,13.509477,298.0,LTE,0,,2021,-1,,,
248,2,2021,256348940,59.4032821,24.6871503,-68,1512926890000,7.3,17.867226,296.0,LTE,0,,2021,-1,,,
248,2,2021,256348940,59.4039744,24.6847045,-58,1512926900000,5.7,13.738521,297.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4044987,24.6826706,-59,1512926910000,9.5,7.310769,289.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4046225,24.682594,-59,1512926915000,7.9,3.831921,40.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4049451,24.6828208,-73,1512926925000,9.3,0.5670276,224.0,LTE,0,,2021,-1,,,
248,2,2021,256257057,59.4051358,24.6827796,-82,1512926930000,7.0,0.48856106,334.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4051868,24.6827987,-94,1512926940000,6.2,0.15290307,118.0,LTE,0,,2021,-1,,,
248,2,2021,256348960,59.4052467,24.6828248,-107,1512926967259,24.2,0.0,0.0,LTE,0,,2021,-1,,,
