sep=,
lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
59.4035554,24.6857489,248,2,2021,256257047,,,,,LTE,,,2021,,,
59.4037911,24.6842673,248,2,2021,256348950,,,,,LTE,,,2021,,,
59.4020927,24.6816195,248,2,2021,256348960,,,,,LTE,,,2021,,,
59.3993642,24.6748075,248,2,2021,256287263,,,,,LTE,,,2021,,,
59.4018169,24.6813766,248,2,2021,256257036,,,,,LTE,,,2021,,,
59.4022543,24.6966772,248,2,2021,256417548,,,,,LTE,,,2021,,,
59.4019183,24.6851942,248,2,2021,256348940,,,,,LTE,,,2021,,,
59.4026807,24.6851069,248,2,2021,256257057,,,,,LTE,,,2021,,,
